DATE,3 Month Treasury Bills Yield
1/4/1983,8.21
1/5/1983,8.19
1/6/1983,8.79
1/7/1983,9.08
1/8/1983,9.34
1/9/1983,9
1/10/1983,8.64
1/11/1983,8.76
1/12/1983,9
1/1/1984,8.9
1/2/1984,9.09
1/3/1984,9.52
1/4/1984,9.69
1/5/1984,9.83
1/6/1984,9.87
1/7/1984,10.12
1/8/1984,10.47
1/9/1984,10.37
1/10/1984,9.74
1/11/1984,8.61
1/12/1984,8.06
1/1/1985,7.76
1/2/1985,8.27
1/3/1985,8.52
1/4/1985,7.95
1/5/1985,7.48
1/6/1985,6.95
1/7/1985,7.08
1/8/1985,7.14
1/9/1985,7.1
1/10/1985,7.16
1/11/1985,7.24
1/12/1985,7.1
1/1/1986,7.07
1/2/1986,7.06
1/3/1986,6.56
1/4/1986,6.06
1/5/1986,6.15
1/6/1986,6.21
1/7/1986,5.83
1/8/1986,5.53
1/9/1986,5.21
1/10/1986,5.18
1/11/1986,5.35
1/12/1986,5.53
1/1/1987,5.43
1/2/1987,5.59
1/3/1987,5.59
1/4/1987,5.64
1/5/1987,5.66
1/6/1987,5.67
1/7/1987,5.69
1/8/1987,6.04
1/9/1987,6.4
1/10/1987,6.13
1/11/1987,5.69
1/12/1987,5.77
1/1/1988,5.81
1/2/1988,5.66
1/3/1988,5.7
1/4/1988,5.91
1/5/1988,6.26
1/6/1988,6.46
1/7/1988,6.73
1/8/1988,7.06
1/9/1988,7.24
1/10/1988,7.35
1/11/1988,7.76
1/12/1988,8.07
1/1/1989,8.27
1/2/1989,8.53
1/3/1989,8.82
1/4/1989,8.65
1/5/1989,8.43
1/6/1989,8.15
1/7/1989,7.88
1/8/1989,7.9
1/9/1989,7.75
1/10/1989,7.64
1/11/1989,7.69
1/12/1989,7.63
1/1/1990,7.64
1/2/1990,7.74
1/3/1990,7.9
1/4/1990,7.77
1/5/1990,7.74
1/6/1990,7.73
1/7/1990,7.62
1/8/1990,7.45
1/9/1990,7.36
1/10/1990,7.17
1/11/1990,7.06
1/12/1990,6.74
1/1/1991,6.22
