,date,open,high,low,close,adjusted_close,volume,wma_x,wma_y,slope_x,slope_y,rsi_x,rsi_y,volatility_x,volatility_y
8728,2015-08-11,117.81,118.18,113.33,113.49,25.8244,388331200.0,26.344,26.7332,-0.0115,-0.1844,32.1375,34.2129,0.2169,0.7494
8729,2015-08-12,112.53,115.42,109.63,115.24,26.2226,404870000.0,26.3108,26.6119,0.0419,-0.1702,39.6328,38.6067,0.1798,0.6793
8730,2015-08-13,116.04,116.4,114.54,115.15,26.2021,194143200.0,26.2941,26.5081,-0.0081,-0.1521,39.3717,38.4643,0.1665,0.5956
8731,2015-08-14,114.32,116.31,114.01,115.96,26.3864,171718000.0,26.3151,26.4479,-0.0222,-0.133,43.2914,40.5864,0.1625,0.5323
8732,2015-08-17,116.04,117.65,115.5,117.16,26.6595,163538800.0,26.3957,26.4377,-0.0076,-0.0952,48.9925,43.6856,0.1702,0.4192
8733,2015-08-18,116.43,117.44,116.01,116.5,26.5093,138242800.0,26.4222,26.4197,-0.013,-0.059,46.0237,42.3764,0.1688,0.3056
8734,2015-08-19,116.1,116.52,114.68,115.01,26.1702,193146000.0,26.3559,26.3694,0.0739,-0.0311,39.6889,39.4983,0.0624,0.2054
8735,2015-08-20,114.08,114.35,111.63,112.65,25.6332,274006400.0,26.1937,26.2623,-0.061,-0.0198,31.6423,35.3983,0.0919,0.1569
8736,2015-08-21,110.43,111.9,105.65,105.76,24.0654,513102000.0,25.6464,25.9637,-0.3002,-0.0665,18.717,26.6881,0.6815,0.4566
8737,2015-08-24,94.87,108.8,92.0,103.12,23.4647,648825200.0,25.0259,25.6112,-0.5296,-0.1466,15.8271,24.2282,1.3992,0.9222
8738,2015-08-25,111.11,111.11,103.5,103.74,23.6058,414406400.0,24.5385,25.3015,-0.6198,-0.206,19.244,25.9546,1.6859,1.2717
8739,2015-08-26,107.09,109.89,105.05,109.69,24.9597,387098400.0,24.4888,25.1964,-0.4266,-0.2137,44.4762,40.0658,1.3106,1.2938
8740,2015-08-27,112.23,113.24,110.02,112.92,25.6947,338464400.0,24.6836,25.2011,-0.1155,-0.192,53.6488,46.0741,1.0209,1.2641
8741,2015-08-28,112.17,113.31,111.54,113.29,25.7789,212657600.0,24.9286,25.2227,0.1854,-0.1338,54.65,46.7329,0.8864,1.0664
8742,2015-08-31,112.03,114.53,112.0,112.76,25.6583,224917200.0,25.1574,25.2421,0.4106,-0.1194,52.746,45.8685,0.8928,1.0609
8743,2015-09-01,110.15,111.88,107.36,107.72,24.5114,307383600.0,25.0985,25.1102,0.288,-0.1238,38.0413,38.5639,0.8304,1.0786
8744,2015-09-02,110.23,112.34,109.13,112.34,25.5627,247555200.0,25.2866,25.1348,0.1763,-0.0914,52.271,46.91,0.5626,1.0305
8745,2015-09-03,112.49,112.78,110.04,110.37,25.1144,212935600.0,25.2876,25.1056,-0.0381,-0.0629,46.9111,44.1553,0.1929,0.9464
8746,2015-09-04,108.97,110.45,108.51,109.27,24.8641,199985200.0,25.1722,25.0552,-0.1399,-0.027,43.9739,42.6494,0.204,0.7966
8747,2015-09-08,111.75,112.56,110.32,112.31,25.5559,219374400.0,25.2332,25.1142,-0.0591,0.0316,53.3852,47.9347,0.1912,0.6668
8748,2015-09-09,113.76,114.02,109.77,110.15,25.0644,340043200.0,25.1762,25.1167,-0.014,0.0692,46.8606,44.7774,0.1543,0.5703
8749,2015-09-10,110.27,113.28,109.9,112.57,25.615,251571200.0,25.2824,25.2031,0.0984,0.1097,54.1796,48.8425,0.1488,0.5686
8750,2015-09-11,111.79,114.21,111.76,114.21,25.9882,199662000.0,25.4835,25.3395,0.0885,0.1093,58.68,51.4512,0.132,0.5666
8751,2015-09-14,116.58,116.89,114.86,115.31,26.2385,233453600.0,25.6943,25.4909,0.2028,0.0877,61.6289,53.1758,0.2203,0.4278
8752,2015-09-15,115.93,116.53,114.42,116.28,26.4592,173364800.0,25.9363,25.6454,0.2527,0.0649,64.2532,54.7037,0.2969,0.2769
8753,2015-09-16,116.25,116.54,115.44,116.41,26.4888,148694000.0,26.1376,25.7766,0.2219,0.0751,64.6317,54.9162,0.2397,0.3129
8754,2015-09-17,115.66,116.49,113.72,113.92,25.9222,256450400.0,26.1392,25.8177,0.1711,0.0866,52.2714,50.074,0.2185,0.319
8755,2015-09-18,112.21,114.3,111.87,113.45,25.8153,297141200.0,26.101,25.8424,0.0257,0.0968,50.1599,49.1927,0.0936,0.3199
8756,2015-09-21,113.67,115.37,113.66,115.21,26.2157,200888000.0,26.1361,25.9201,-0.025,0.1143,57.6376,52.5605,0.0588,0.3425
8757,2015-09-22,113.38,114.18,112.52,113.4,25.8039,201384800.0,26.0468,25.9376,-0.088,0.0797,48.8445,48.9656,0.0721,0.2389
8758,2015-09-23,113.63,114.72,113.3,114.32,26.0132,143026800.0,26.0164,25.9707,-0.0862,0.0802,53.0882,50.8072,0.0716,0.2393
8759,2015-09-24,113.25,115.5,112.37,115.0,26.168,200878000.0,26.0327,26.0202,-0.0283,0.0683,56.222,52.1816,0.0523,0.2102
8760,2015-09-25,116.44,116.69,114.02,114.71,26.102,224607600.0,26.043,26.0508,0.0372,0.0416,54.4139,51.5207,0.0234,0.1336
8761,2015-09-28,113.85,114.57,112.44,112.44,25.5854,208436000.0,25.9379,26.0008,-0.0197,0.0175,42.0616,46.5506,0.0453,0.1319
